SlNo,Station,Agency,State LGD Code,State,District LGD Code,District,Tehsil,Block,Village,River,Basin,Tributary,Subtributary,SubSubtributary,Local River,Latitude,Longitude,Data Acquisition Time,Telemetry Hourly Rainfall (mm)
55,AMADALAVALASA.,CWC,28,Andhra Pradesh,519,SRIKAKULAM,AMUDALAVALASA,-,-,Nagavali,East flowing rivers between Mahanadi and Pennar,-,-,-,Nagavali,18.41000000,83.40000000,19-07-2024 12:30,0.5
56,AMADALAVALASA.,CWC,28,Andhra Pradesh,519,SRIKAKULAM,AMUDALAVALASA,-,-,Nagavali,East flowing rivers between Mahanadi and Pennar,-,-,-,Nagavali,18.41000000,83.40000000,19-07-2024 17:30,2.5
57,AMADALAVALASA.,CWC,28,Andhra Pradesh,519,SRIKAKULAM,AMUDALAVALASA,-,-,Nagavali,East flowing rivers between Mahanadi and Pennar,-,-,-,Nagavali,18.41000000,83.40000000,20-07-2024 12:30,0.5
58,AMADALAVALASA.,CWC,28,Andhra Pradesh,519,SRIKAKULAM,AMUDALAVALASA,-,-,Nagavali,East flowing rivers between Mahanadi and Pennar,-,-,-,Nagavali,18.41000000,83.40000000,20-07-2024 13:30,0.5
59,AMADALAVALASA.,CWC,28,Andhra Pradesh,519,SRIKAKULAM,AMUDALAVALASA,-,-,Nagavali,East flowing rivers between Mahanadi and Pennar,-,-,-,Nagavali,18.41000000,83.40000000,20-07-2024 14:30,0.5
60,AMADALAVALASA.,CWC,28,Andhra Pradesh,519,SRIKAKULAM,AMUDALAVALASA,-,-,Nagavali,East flowing rivers between Mahanadi and Pennar,-,-,-,Nagavali,18.41000000,83.40000000,20-07-2024 15:30,0.5
61,AMADALAVALASA.,CWC,28,Andhra Pradesh,519,SRIKAKULAM,AMUDALAVALASA,-,-,Nagavali,East flowing rivers between Mahanadi and Pennar,-,-,-,Nagavali,18.41000000,83.40000000,22-07-2024 15:30,0.5
62,AMADALAVALASA.,CWC,28,Andhra Pradesh,519,SRIKAKULAM,AMUDALAVALASA,-,-,Nagavali,East flowing rivers between Mahanadi and Pennar,-,-,-,Nagavali,18.41000000,83.40000000,23-07-2024 05:30,0.5
63,AMADALAVALASA.,CWC,28,Andhra Pradesh,519,SRIKAKULAM,AMUDALAVALASA,-,-,Nagavali,East flowing rivers between Mahanadi and Pennar,-,-,-,Nagavali,18.41000000,83.40000000,23-07-2024 07:30,9
64,AMADALAVALASA.,CWC,28,Andhra Pradesh,519,SRIKAKULAM,AMUDALAVALASA,-,-,Nagavali,East flowing rivers between Mahanadi and Pennar,-,-,-,Nagavali,18.41000000,83.40000000,23-07-2024 10:30,2
