SlNo,Station,Agency,State LGD Code,State,District LGD Code,District,Tehsil,Block,Village,River,Basin,Tributary,Subtributary,SubSubtributary,Local River,Latitude,Longitude,Data Acquisition Time,Telemetry Hourly Rainfall (mm)
10618,Gotta Barrage,CWC,28,Andhra Pradesh,519,SRIKAKULAM,HEERAMANDALAM,-,-,Vamsadhara,East flowing rivers between Mahanadi and Pennar,-,-,-,Vamsadhara,18.68805556,83.96388889,22-05-2021 07:00,NaN
10619,Gotta Barrage,CWC,28,Andhra Pradesh,519,SRIKAKULAM,HEERAMANDALAM,-,-,Vamsadhara,East flowing rivers between Mahanadi and Pennar,-,-,-,Vamsadhara,18.68805556,83.96388889,22-05-2021 08:00,NaN
10620,Gotta Barrage,CWC,28,Andhra Pradesh,519,SRIKAKULAM,HEERAMANDALAM,-,-,Vamsadhara,East flowing rivers between Mahanadi and Pennar,-,-,-,Vamsadhara,18.68805556,83.96388889,22-05-2021 09:00,NaN
10621,Gotta Barrage,CWC,28,Andhra Pradesh,519,SRIKAKULAM,HEERAMANDALAM,-,-,Vamsadhara,East flowing rivers between Mahanadi and Pennar,-,-,-,Vamsadhara,18.68805556,83.96388889,22-05-2021 10:00,NaN
10622,Gotta Barrage,CWC,28,Andhra Pradesh,519,SRIKAKULAM,HEERAMANDALAM,-,-,Vamsadhara,East flowing rivers between Mahanadi and Pennar,-,-,-,Vamsadhara,18.68805556,83.96388889,22-05-2021 11:00,NaN
10623,Gotta Barrage,CWC,28,Andhra Pradesh,519,SRIKAKULAM,HEERAMANDALAM,-,-,Vamsadhara,East flowing rivers between Mahanadi and Pennar,-,-,-,Vamsadhara,18.68805556,83.96388889,22-05-2021 12:00,NaN
10624,Gotta Barrage,CWC,28,Andhra Pradesh,519,SRIKAKULAM,HEERAMANDALAM,-,-,Vamsadhara,East flowing rivers between Mahanadi and Pennar,-,-,-,Vamsadhara,18.68805556,83.96388889,22-05-2021 13:00,NaN
10625,Gotta Barrage,CWC,28,Andhra Pradesh,519,SRIKAKULAM,HEERAMANDALAM,-,-,Vamsadhara,East flowing rivers between Mahanadi and Pennar,-,-,-,Vamsadhara,18.68805556,83.96388889,22-05-2021 14:00,NaN
10626,Gotta Barrage,CWC,28,Andhra Pradesh,519,SRIKAKULAM,HEERAMANDALAM,-,-,Vamsadhara,East flowing rivers between Mahanadi and Pennar,-,-,-,Vamsadhara,18.68805556,83.96388889,22-05-2021 15:00,NaN
10627,Gotta Barrage,CWC,28,Andhra Pradesh,519,SRIKAKULAM,HEERAMANDALAM,-,-,Vamsadhara,East flowing rivers between Mahanadi and Pennar,-,-,-,Vamsadhara,18.68805556,83.96388889,22-05-2021 16:00,NaN
10628,Gotta Barrage,CWC,28,Andhra Pradesh,519,SRIKAKULAM,HEERAMANDALAM,-,-,Vamsadhara,East flowing rivers between Mahanadi and Pennar,-,-,-,Vamsadhara,18.68805556,83.96388889,22-05-2021 17:00,NaN
10629,Gotta Barrage,CWC,28,Andhra Pradesh,519,SRIKAKULAM,HEERAMANDALAM,-,-,Vamsadhara,East flowing rivers between Mahanadi and Pennar,-,-,-,Vamsadhara,18.68805556,83.96388889,22-05-2021 18:00,NaN
10630,Gotta Barrage,CWC,28,Andhra Pradesh,519,SRIKAKULAM,HEERAMANDALAM,-,-,Vamsadhara,East flowing rivers between Mahanadi and Pennar,-,-,-,Vamsadhara,18.68805556,83.96388889,22-05-2021 19:00,NaN
10631,Gotta Barrage,CWC,28,Andhra Pradesh,519,SRIKAKULAM,HEERAMANDALAM,-,-,Vamsadhara,East flowing rivers between Mahanadi and Pennar,-,-,-,Vamsadhara,18.68805556,83.96388889,22-05-2021 20:00,NaN
10632,Gotta Barrage,CWC,28,Andhra Pradesh,519,SRIKAKULAM,HEERAMANDALAM,-,-,Vamsadhara,East flowing rivers between Mahanadi and Pennar,-,-,-,Vamsadhara,18.68805556,83.96388889,22-05-2021 21:00,NaN
10633,Gotta Barrage,CWC,28,Andhra Pradesh,519,SRIKAKULAM,HEERAMANDALAM,-,-,Vamsadhara,East flowing rivers between Mahanadi and Pennar,-,-,-,Vamsadhara,18.68805556,83.96388889,22-05-2021 22:00,NaN
10634,Gotta Barrage,CWC,28,Andhra Pradesh,519,SRIKAKULAM,HEERAMANDALAM,-,-,Vamsadhara,East flowing rivers between Mahanadi and Pennar,-,-,-,Vamsadhara,18.68805556,83.96388889,22-05-2021 23:00,NaN
10635,Gotta Barrage,CWC,28,Andhra Pradesh,519,SRIKAKULAM,HEERAMANDALAM,-,-,Vamsadhara,East flowing rivers between Mahanadi and Pennar,-,-,-,Vamsadhara,18.68805556,83.96388889,23-05-2021 00:00,NaN
10636,Gotta Barrage,CWC,28,Andhra Pradesh,519,SRIKAKULAM,HEERAMANDALAM,-,-,Vamsadhara,East flowing rivers between Mahanadi and Pennar,-,-,-,Vamsadhara,18.68805556,83.96388889,23-05-2021 01:00,NaN
10637,Gotta Barrage,CWC,28,Andhra Pradesh,519,SRIKAKULAM,HEERAMANDALAM,-,-,Vamsadhara,East flowing rivers between Mahanadi and Pennar,-,-,-,Vamsadhara,18.68805556,83.96388889,23-05-2021 02:00,NaN
10638,Gotta Barrage,CWC,28,Andhra Pradesh,519,SRIKAKULAM,HEERAMANDALAM,-,-,Vamsadhara,East flowing rivers between Mahanadi and Pennar,-,-,-,Vamsadhara,18.68805556,83.96388889,23-05-2021 03:00,NaN
10639,Gotta Barrage,CWC,28,Andhra Pradesh,519,SRIKAKULAM,HEERAMANDALAM,-,-,Vamsadhara,East flowing rivers between Mahanadi and Pennar,-,-,-,Vamsadhara,18.68805556,83.96388889,23-05-2021 04:00,NaN
10640,Gotta Barrage,CWC,28,Andhra Pradesh,519,SRIKAKULAM,HEERAMANDALAM,-,-,Vamsadhara,East flowing rivers between Mahanadi and Pennar,-,-,-,Vamsadhara,18.68805556,83.96388889,23-05-2021 05:00,NaN
10641,Gotta Barrage,CWC,28,Andhra Pradesh,519,SRIKAKULAM,HEERAMANDALAM,-,-,Vamsadhara,East flowing rivers between Mahanadi and Pennar,-,-,-,Vamsadhara,18.68805556,83.96388889,23-05-2021 06:00,NaN
10642,Gotta Barrage,CWC,28,Andhra Pradesh,519,SRIKAKULAM,HEERAMANDALAM,-,-,Vamsadhara,East flowing rivers between Mahanadi and Pennar,-,-,-,Vamsadhara,18.68805556,83.96388889,23-05-2021 07:00,NaN
10643,Gotta Barrage,CWC,28,Andhra Pradesh,519,SRIKAKULAM,HEERAMANDALAM,-,-,Vamsadhara,East flowing rivers between Mahanadi and Pennar,-,-,-,Vamsadhara,18.68805556,83.96388889,23-05-2021 08:00,NaN
10644,Gotta Barrage,CWC,28,Andhra Pradesh,519,SRIKAKULAM,HEERAMANDALAM,-,-,Vamsadhara,East flowing rivers between Mahanadi and Pennar,-,-,-,Vamsadhara,18.68805556,83.96388889,23-05-2021 09:00,NaN
10645,Gotta Barrage,CWC,28,Andhra Pradesh,519,SRIKAKULAM,HEERAMANDALAM,-,-,Vamsadhara,East flowing rivers between Mahanadi and Pennar,-,-,-,Vamsadhara,18.68805556,83.96388889,23-05-2021 10:00,NaN
10646,Gotta Barrage,CWC,28,Andhra Pradesh,519,SRIKAKULAM,HEERAMANDALAM,-,-,Vamsadhara,East flowing rivers between Mahanadi and Pennar,-,-,-,Vamsadhara,18.68805556,83.96388889,23-05-2021 11:00,NaN
10647,Gotta Barrage,CWC,28,Andhra Pradesh,519,SRIKAKULAM,HEERAMANDALAM,-,-,Vamsadhara,East flowing rivers between Mahanadi and Pennar,-,-,-,Vamsadhara,18.68805556,83.96388889,23-05-2021 12:00,NaN
10648,Gotta Barrage,CWC,28,Andhra Pradesh,519,SRIKAKULAM,HEERAMANDALAM,-,-,Vamsadhara,East flowing rivers between Mahanadi and Pennar,-,-,-,Vamsadhara,18.68805556,83.96388889,23-05-2021 13:00,NaN
10649,Gotta Barrage,CWC,28,Andhra Pradesh,519,SRIKAKULAM,HEERAMANDALAM,-,-,Vamsadhara,East flowing rivers between Mahanadi and Pennar,-,-,-,Vamsadhara,18.68805556,83.96388889,23-05-2021 14:00,NaN
10650,Gotta Barrage,CWC,28,Andhra Pradesh,519,SRIKAKULAM,HEERAMANDALAM,-,-,Vamsadhara,East flowing rivers between Mahanadi and Pennar,-,-,-,Vamsadhara,18.68805556,83.96388889,23-05-2021 15:00,NaN
10651,Gotta Barrage,CWC,28,Andhra Pradesh,519,SRIKAKULAM,HEERAMANDALAM,-,-,Vamsadhara,East flowing rivers between Mahanadi and Pennar,-,-,-,Vamsadhara,18.68805556,83.96388889,23-05-2021 16:00,NaN
10652,Gotta Barrage,CWC,28,Andhra Pradesh,519,SRIKAKULAM,HEERAMANDALAM,-,-,Vamsadhara,East flowing rivers between Mahanadi and Pennar,-,-,-,Vamsadhara,18.68805556,83.96388889,23-05-2021 17:00,NaN
10653,Gotta Barrage,CWC,28,Andhra Pradesh,519,SRIKAKULAM,HEERAMANDALAM,-,-,Vamsadhara,East flowing rivers between Mahanadi and Pennar,-,-,-,Vamsadhara,18.68805556,83.96388889,23-05-2021 18:00,NaN
10654,Gotta Barrage,CWC,28,Andhra Pradesh,519,SRIKAKULAM,HEERAMANDALAM,-,-,Vamsadhara,East flowing rivers between Mahanadi and Pennar,-,-,-,Vamsadhara,18.68805556,83.96388889,23-05-2021 19:00,NaN
10655,Gotta Barrage,CWC,28,Andhra Pradesh,519,SRIKAKULAM,HEERAMANDALAM,-,-,Vamsadhara,East flowing rivers between Mahanadi and Pennar,-,-,-,Vamsadhara,18.68805556,83.96388889,23-05-2021 20:00,NaN
10656,Gotta Barrage,CWC,28,Andhra Pradesh,519,SRIKAKULAM,HEERAMANDALAM,-,-,Vamsadhara,East flowing rivers between Mahanadi and Pennar,-,-,-,Vamsadhara,18.68805556,83.96388889,23-05-2021 21:00,NaN
10657,Gotta Barrage,CWC,28,Andhra Pradesh,519,SRIKAKULAM,HEERAMANDALAM,-,-,Vamsadhara,East flowing rivers between Mahanadi and Pennar,-,-,-,Vamsadhara,18.68805556,83.96388889,23-05-2021 22:00,NaN
10658,Gotta Barrage,CWC,28,Andhra Pradesh,519,SRIKAKULAM,HEERAMANDALAM,-,-,Vamsadhara,East flowing rivers between Mahanadi and Pennar,-,-,-,Vamsadhara,18.68805556,83.96388889,23-05-2021 23:00,NaN
10659,Gotta Barrage,CWC,28,Andhra Pradesh,519,SRIKAKULAM,HEERAMANDALAM,-,-,Vamsadhara,East flowing rivers between Mahanadi and Pennar,-,-,-,Vamsadhara,18.68805556,83.96388889,24-05-2021 00:00,NaN
10660,Gotta Barrage,CWC,28,Andhra Pradesh,519,SRIKAKULAM,HEERAMANDALAM,-,-,Vamsadhara,East flowing rivers between Mahanadi and Pennar,-,-,-,Vamsadhara,18.68805556,83.96388889,24-05-2021 01:00,NaN
10661,Gotta Barrage,CWC,28,Andhra Pradesh,519,SRIKAKULAM,HEERAMANDALAM,-,-,Vamsadhara,East flowing rivers between Mahanadi and Pennar,-,-,-,Vamsadhara,18.68805556,83.96388889,24-05-2021 02:00,NaN
10662,Gotta Barrage,CWC,28,Andhra Pradesh,519,SRIKAKULAM,HEERAMANDALAM,-,-,Vamsadhara,East flowing rivers between Mahanadi and Pennar,-,-,-,Vamsadhara,18.68805556,83.96388889,24-05-2021 03:00,NaN
10663,Gotta Barrage,CWC,28,Andhra Pradesh,519,SRIKAKULAM,HEERAMANDALAM,-,-,Vamsadhara,East flowing rivers between Mahanadi and Pennar,-,-,-,Vamsadhara,18.68805556,83.96388889,24-05-2021 04:00,NaN
10664,Gotta Barrage,CWC,28,Andhra Pradesh,519,SRIKAKULAM,HEERAMANDALAM,-,-,Vamsadhara,East flowing rivers between Mahanadi and Pennar,-,-,-,Vamsadhara,18.68805556,83.96388889,24-05-2021 05:00,NaN
10665,Gotta Barrage,CWC,28,Andhra Pradesh,519,SRIKAKULAM,HEERAMANDALAM,-,-,Vamsadhara,East flowing rivers between Mahanadi and Pennar,-,-,-,Vamsadhara,18.68805556,83.96388889,24-05-2021 06:00,NaN
10666,Gotta Barrage,CWC,28,Andhra Pradesh,519,SRIKAKULAM,HEERAMANDALAM,-,-,Vamsadhara,East flowing rivers between Mahanadi and Pennar,-,-,-,Vamsadhara,18.68805556,83.96388889,24-05-2021 07:00,NaN
10667,Gotta Barrage,CWC,28,Andhra Pradesh,519,SRIKAKULAM,HEERAMANDALAM,-,-,Vamsadhara,East flowing rivers between Mahanadi and Pennar,-,-,-,Vamsadhara,18.68805556,83.96388889,24-05-2021 08:00,NaN
10668,Gotta Barrage,CWC,28,Andhra Pradesh,519,SRIKAKULAM,HEERAMANDALAM,-,-,Vamsadhara,East flowing rivers between Mahanadi and Pennar,-,-,-,Vamsadhara,18.68805556,83.96388889,24-05-2021 09:00,NaN
10669,Gotta Barrage,CWC,28,Andhra Pradesh,519,SRIKAKULAM,HEERAMANDALAM,-,-,Vamsadhara,East flowing rivers between Mahanadi and Pennar,-,-,-,Vamsadhara,18.68805556,83.96388889,24-05-2021 10:00,NaN
10670,Gotta Barrage,CWC,28,Andhra Pradesh,519,SRIKAKULAM,HEERAMANDALAM,-,-,Vamsadhara,East flowing rivers between Mahanadi and Pennar,-,-,-,Vamsadhara,18.68805556,83.96388889,24-05-2021 11:00,NaN
10671,Gotta Barrage,CWC,28,Andhra Pradesh,519,SRIKAKULAM,HEERAMANDALAM,-,-,Vamsadhara,East flowing rivers between Mahanadi and Pennar,-,-,-,Vamsadhara,18.68805556,83.96388889,24-05-2021 12:00,NaN
10672,Gotta Barrage,CWC,28,Andhra Pradesh,519,SRIKAKULAM,HEERAMANDALAM,-,-,Vamsadhara,East flowing rivers between Mahanadi and Pennar,-,-,-,Vamsadhara,18.68805556,83.96388889,24-05-2021 13:00,NaN
10673,Gotta Barrage,CWC,28,Andhra Pradesh,519,SRIKAKULAM,HEERAMANDALAM,-,-,Vamsadhara,East flowing rivers between Mahanadi and Pennar,-,-,-,Vamsadhara,18.68805556,83.96388889,24-05-2021 14:00,NaN
10674,Gotta Barrage,CWC,28,Andhra Pradesh,519,SRIKAKULAM,HEERAMANDALAM,-,-,Vamsadhara,East flowing rivers between Mahanadi and Pennar,-,-,-,Vamsadhara,18.68805556,83.96388889,24-05-2021 15:00,NaN
10675,Gotta Barrage,CWC,28,Andhra Pradesh,519,SRIKAKULAM,HEERAMANDALAM,-,-,Vamsadhara,East flowing rivers between Mahanadi and Pennar,-,-,-,Vamsadhara,18.68805556,83.96388889,24-05-2021 16:00,NaN
10676,Gotta Barrage,CWC,28,Andhra Pradesh,519,SRIKAKULAM,HEERAMANDALAM,-,-,Vamsadhara,East flowing rivers between Mahanadi and Pennar,-,-,-,Vamsadhara,18.68805556,83.96388889,24-05-2021 17:00,NaN
10677,Gotta Barrage,CWC,28,Andhra Pradesh,519,SRIKAKULAM,HEERAMANDALAM,-,-,Vamsadhara,East flowing rivers between Mahanadi and Pennar,-,-,-,Vamsadhara,18.68805556,83.96388889,24-05-2021 18:00,NaN
10678,Gotta Barrage,CWC,28,Andhra Pradesh,519,SRIKAKULAM,HEERAMANDALAM,-,-,Vamsadhara,East flowing rivers between Mahanadi and Pennar,-,-,-,Vamsadhara,18.68805556,83.96388889,24-05-2021 19:00,NaN
10679,Gotta Barrage,CWC,28,Andhra Pradesh,519,SRIKAKULAM,HEERAMANDALAM,-,-,Vamsadhara,East flowing rivers between Mahanadi and Pennar,-,-,-,Vamsadhara,18.68805556,83.96388889,24-05-2021 20:00,NaN
10680,Gotta Barrage,CWC,28,Andhra Pradesh,519,SRIKAKULAM,HEERAMANDALAM,-,-,Vamsadhara,East flowing rivers between Mahanadi and Pennar,-,-,-,Vamsadhara,18.68805556,83.96388889,24-05-2021 21:00,NaN
10681,Gotta Barrage,CWC,28,Andhra Pradesh,519,SRIKAKULAM,HEERAMANDALAM,-,-,Vamsadhara,East flowing rivers between Mahanadi and Pennar,-,-,-,Vamsadhara,18.68805556,83.96388889,24-05-2021 22:00,NaN
10682,Gotta Barrage,CWC,28,Andhra Pradesh,519,SRIKAKULAM,HEERAMANDALAM,-,-,Vamsadhara,East flowing rivers between Mahanadi and Pennar,-,-,-,Vamsadhara,18.68805556,83.96388889,24-05-2021 23:00,NaN
10683,Gotta Barrage,CWC,28,Andhra Pradesh,519,SRIKAKULAM,HEERAMANDALAM,-,-,Vamsadhara,East flowing rivers between Mahanadi and Pennar,-,-,-,Vamsadhara,18.68805556,83.96388889,25-05-2021 00:00,NaN
10684,Gotta Barrage,CWC,28,Andhra Pradesh,519,SRIKAKULAM,HEERAMANDALAM,-,-,Vamsadhara,East flowing rivers between Mahanadi and Pennar,-,-,-,Vamsadhara,18.68805556,83.96388889,25-05-2021 01:00,NaN
10685,Gotta Barrage,CWC,28,Andhra Pradesh,519,SRIKAKULAM,HEERAMANDALAM,-,-,Vamsadhara,East flowing rivers between Mahanadi and Pennar,-,-,-,Vamsadhara,18.68805556,83.96388889,25-05-2021 02:00,NaN
10686,Gotta Barrage,CWC,28,Andhra Pradesh,519,SRIKAKULAM,HEERAMANDALAM,-,-,Vamsadhara,East flowing rivers between Mahanadi and Pennar,-,-,-,Vamsadhara,18.68805556,83.96388889,25-05-2021 03:00,NaN
10687,Gotta Barrage,CWC,28,Andhra Pradesh,519,SRIKAKULAM,HEERAMANDALAM,-,-,Vamsadhara,East flowing rivers between Mahanadi and Pennar,-,-,-,Vamsadhara,18.68805556,83.96388889,25-05-2021 04:00,NaN
10688,Gotta Barrage,CWC,28,Andhra Pradesh,519,SRIKAKULAM,HEERAMANDALAM,-,-,Vamsadhara,East flowing rivers between Mahanadi and Pennar,-,-,-,Vamsadhara,18.68805556,83.96388889,25-05-2021 05:00,NaN
10689,Gotta Barrage,CWC,28,Andhra Pradesh,519,SRIKAKULAM,HEERAMANDALAM,-,-,Vamsadhara,East flowing rivers between Mahanadi and Pennar,-,-,-,Vamsadhara,18.68805556,83.96388889,25-05-2021 06:00,NaN
10690,Gotta Barrage,CWC,28,Andhra Pradesh,519,SRIKAKULAM,HEERAMANDALAM,-,-,Vamsadhara,East flowing rivers between Mahanadi and Pennar,-,-,-,Vamsadhara,18.68805556,83.96388889,25-05-2021 07:00,NaN
10691,Gotta Barrage,CWC,28,Andhra Pradesh,519,SRIKAKULAM,HEERAMANDALAM,-,-,Vamsadhara,East flowing rivers between Mahanadi and Pennar,-,-,-,Vamsadhara,18.68805556,83.96388889,25-05-2021 08:00,NaN
10692,Gotta Barrage,CWC,28,Andhra Pradesh,519,SRIKAKULAM,HEERAMANDALAM,-,-,Vamsadhara,East flowing rivers between Mahanadi and Pennar,-,-,-,Vamsadhara,18.68805556,83.96388889,25-05-2021 09:00,NaN
10693,Gotta Barrage,CWC,28,Andhra Pradesh,519,SRIKAKULAM,HEERAMANDALAM,-,-,Vamsadhara,East flowing rivers between Mahanadi and Pennar,-,-,-,Vamsadhara,18.68805556,83.96388889,25-05-2021 10:00,NaN
10694,Gotta Barrage,CWC,28,Andhra Pradesh,519,SRIKAKULAM,HEERAMANDALAM,-,-,Vamsadhara,East flowing rivers between Mahanadi and Pennar,-,-,-,Vamsadhara,18.68805556,83.96388889,25-05-2021 11:00,NaN
10695,Gotta Barrage,CWC,28,Andhra Pradesh,519,SRIKAKULAM,HEERAMANDALAM,-,-,Vamsadhara,East flowing rivers between Mahanadi and Pennar,-,-,-,Vamsadhara,18.68805556,83.96388889,25-05-2021 12:00,NaN
10696,Gotta Barrage,CWC,28,Andhra Pradesh,519,SRIKAKULAM,HEERAMANDALAM,-,-,Vamsadhara,East flowing rivers between Mahanadi and Pennar,-,-,-,Vamsadhara,18.68805556,83.96388889,25-05-2021 13:00,NaN
10697,Gotta Barrage,CWC,28,Andhra Pradesh,519,SRIKAKULAM,HEERAMANDALAM,-,-,Vamsadhara,East flowing rivers between Mahanadi and Pennar,-,-,-,Vamsadhara,18.68805556,83.96388889,25-05-2021 14:00,NaN
10698,Gotta Barrage,CWC,28,Andhra Pradesh,519,SRIKAKULAM,HEERAMANDALAM,-,-,Vamsadhara,East flowing rivers between Mahanadi and Pennar,-,-,-,Vamsadhara,18.68805556,83.96388889,25-05-2021 15:00,NaN
10699,Gotta Barrage,CWC,28,Andhra Pradesh,519,SRIKAKULAM,HEERAMANDALAM,-,-,Vamsadhara,East flowing rivers between Mahanadi and Pennar,-,-,-,Vamsadhara,18.68805556,83.96388889,25-05-2021 16:00,NaN
10700,Gotta Barrage,CWC,28,Andhra Pradesh,519,SRIKAKULAM,HEERAMANDALAM,-,-,Vamsadhara,East flowing rivers between Mahanadi and Pennar,-,-,-,Vamsadhara,18.68805556,83.96388889,25-05-2021 17:00,NaN
10701,Gotta Barrage,CWC,28,Andhra Pradesh,519,SRIKAKULAM,HEERAMANDALAM,-,-,Vamsadhara,East flowing rivers between Mahanadi and Pennar,-,-,-,Vamsadhara,18.68805556,83.96388889,25-05-2021 18:00,NaN
10702,Gotta Barrage,CWC,28,Andhra Pradesh,519,SRIKAKULAM,HEERAMANDALAM,-,-,Vamsadhara,East flowing rivers between Mahanadi and Pennar,-,-,-,Vamsadhara,18.68805556,83.96388889,25-05-2021 19:00,NaN
10703,Gotta Barrage,CWC,28,Andhra Pradesh,519,SRIKAKULAM,HEERAMANDALAM,-,-,Vamsadhara,East flowing rivers between Mahanadi and Pennar,-,-,-,Vamsadhara,18.68805556,83.96388889,25-05-2021 20:00,NaN
10704,Gotta Barrage,CWC,28,Andhra Pradesh,519,SRIKAKULAM,HEERAMANDALAM,-,-,Vamsadhara,East flowing rivers between Mahanadi and Pennar,-,-,-,Vamsadhara,18.68805556,83.96388889,25-05-2021 21:00,NaN
10705,Gotta Barrage,CWC,28,Andhra Pradesh,519,SRIKAKULAM,HEERAMANDALAM,-,-,Vamsadhara,East flowing rivers between Mahanadi and Pennar,-,-,-,Vamsadhara,18.68805556,83.96388889,25-05-2021 22:00,NaN
10706,Gotta Barrage,CWC,28,Andhra Pradesh,519,SRIKAKULAM,HEERAMANDALAM,-,-,Vamsadhara,East flowing rivers between Mahanadi and Pennar,-,-,-,Vamsadhara,18.68805556,83.96388889,25-05-2021 23:00,NaN
10707,Gotta Barrage,CWC,28,Andhra Pradesh,519,SRIKAKULAM,HEERAMANDALAM,-,-,Vamsadhara,East flowing rivers between Mahanadi and Pennar,-,-,-,Vamsadhara,18.68805556,83.96388889,26-05-2021 00:00,NaN
10708,Gotta Barrage,CWC,28,Andhra Pradesh,519,SRIKAKULAM,HEERAMANDALAM,-,-,Vamsadhara,East flowing rivers between Mahanadi and Pennar,-,-,-,Vamsadhara,18.68805556,83.96388889,26-05-2021 01:00,NaN
10709,Gotta Barrage,CWC,28,Andhra Pradesh,519,SRIKAKULAM,HEERAMANDALAM,-,-,Vamsadhara,East flowing rivers between Mahanadi and Pennar,-,-,-,Vamsadhara,18.68805556,83.96388889,26-05-2021 02:00,NaN
10710,Gotta Barrage,CWC,28,Andhra Pradesh,519,SRIKAKULAM,HEERAMANDALAM,-,-,Vamsadhara,East flowing rivers between Mahanadi and Pennar,-,-,-,Vamsadhara,18.68805556,83.96388889,26-05-2021 03:00,NaN
10711,Gotta Barrage,CWC,28,Andhra Pradesh,519,SRIKAKULAM,HEERAMANDALAM,-,-,Vamsadhara,East flowing rivers between Mahanadi and Pennar,-,-,-,Vamsadhara,18.68805556,83.96388889,26-05-2021 04:00,NaN
10712,Gotta Barrage,CWC,28,Andhra Pradesh,519,SRIKAKULAM,HEERAMANDALAM,-,-,Vamsadhara,East flowing rivers between Mahanadi and Pennar,-,-,-,Vamsadhara,18.68805556,83.96388889,26-05-2021 05:00,NaN
10713,Gotta Barrage,CWC,28,Andhra Pradesh,519,SRIKAKULAM,HEERAMANDALAM,-,-,Vamsadhara,East flowing rivers between Mahanadi and Pennar,-,-,-,Vamsadhara,18.68805556,83.96388889,26-05-2021 06:00,NaN
10714,Gotta Barrage,CWC,28,Andhra Pradesh,519,SRIKAKULAM,HEERAMANDALAM,-,-,Vamsadhara,East flowing rivers between Mahanadi and Pennar,-,-,-,Vamsadhara,18.68805556,83.96388889,26-05-2021 07:00,NaN
10715,Gotta Barrage,CWC,28,Andhra Pradesh,519,SRIKAKULAM,HEERAMANDALAM,-,-,Vamsadhara,East flowing rivers between Mahanadi and Pennar,-,-,-,Vamsadhara,18.68805556,83.96388889,26-05-2021 08:00,NaN
10716,Gotta Barrage,CWC,28,Andhra Pradesh,519,SRIKAKULAM,HEERAMANDALAM,-,-,Vamsadhara,East flowing rivers between Mahanadi and Pennar,-,-,-,Vamsadhara,18.68805556,83.96388889,26-05-2021 09:00,NaN
10717,Gotta Barrage,CWC,28,Andhra Pradesh,519,SRIKAKULAM,HEERAMANDALAM,-,-,Vamsadhara,East flowing rivers between Mahanadi and Pennar,-,-,-,Vamsadhara,18.68805556,83.96388889,26-05-2021 10:00,NaN
10718,Gotta Barrage,CWC,28,Andhra Pradesh,519,SRIKAKULAM,HEERAMANDALAM,-,-,Vamsadhara,East flowing rivers between Mahanadi and Pennar,-,-,-,Vamsadhara,18.68805556,83.96388889,26-05-2021 11:00,NaN
10719,Gotta Barrage,CWC,28,Andhra Pradesh,519,SRIKAKULAM,HEERAMANDALAM,-,-,Vamsadhara,East flowing rivers between Mahanadi and Pennar,-,-,-,Vamsadhara,18.68805556,83.96388889,26-05-2021 12:00,NaN
10720,Gotta Barrage,CWC,28,Andhra Pradesh,519,SRIKAKULAM,HEERAMANDALAM,-,-,Vamsadhara,East flowing rivers between Mahanadi and Pennar,-,-,-,Vamsadhara,18.68805556,83.96388889,26-05-2021 13:00,NaN
10721,Gotta Barrage,CWC,28,Andhra Pradesh,519,SRIKAKULAM,HEERAMANDALAM,-,-,Vamsadhara,East flowing rivers between Mahanadi and Pennar,-,-,-,Vamsadhara,18.68805556,83.96388889,26-05-2021 14:00,NaN
10722,Gotta Barrage,CWC,28,Andhra Pradesh,519,SRIKAKULAM,HEERAMANDALAM,-,-,Vamsadhara,East flowing rivers between Mahanadi and Pennar,-,-,-,Vamsadhara,18.68805556,83.96388889,26-05-2021 15:00,NaN
10723,Gotta Barrage,CWC,28,Andhra Pradesh,519,SRIKAKULAM,HEERAMANDALAM,-,-,Vamsadhara,East flowing rivers between Mahanadi and Pennar,-,-,-,Vamsadhara,18.68805556,83.96388889,26-05-2021 16:00,NaN
10724,Gotta Barrage,CWC,28,Andhra Pradesh,519,SRIKAKULAM,HEERAMANDALAM,-,-,Vamsadhara,East flowing rivers between Mahanadi and Pennar,-,-,-,Vamsadhara,18.68805556,83.96388889,26-05-2021 17:00,NaN
10725,Gotta Barrage,CWC,28,Andhra Pradesh,519,SRIKAKULAM,HEERAMANDALAM,-,-,Vamsadhara,East flowing rivers between Mahanadi and Pennar,-,-,-,Vamsadhara,18.68805556,83.96388889,26-05-2021 18:00,NaN
10726,Gotta Barrage,CWC,28,Andhra Pradesh,519,SRIKAKULAM,HEERAMANDALAM,-,-,Vamsadhara,East flowing rivers between Mahanadi and Pennar,-,-,-,Vamsadhara,18.68805556,83.96388889,26-05-2021 19:00,NaN
10727,Gotta Barrage,CWC,28,Andhra Pradesh,519,SRIKAKULAM,HEERAMANDALAM,-,-,Vamsadhara,East flowing rivers between Mahanadi and Pennar,-,-,-,Vamsadhara,18.68805556,83.96388889,26-05-2021 20:00,NaN
10728,Gotta Barrage,CWC,28,Andhra Pradesh,519,SRIKAKULAM,HEERAMANDALAM,-,-,Vamsadhara,East flowing rivers between Mahanadi and Pennar,-,-,-,Vamsadhara,18.68805556,83.96388889,26-05-2021 21:00,NaN
10729,Gotta Barrage,CWC,28,Andhra Pradesh,519,SRIKAKULAM,HEERAMANDALAM,-,-,Vamsadhara,East flowing rivers between Mahanadi and Pennar,-,-,-,Vamsadhara,18.68805556,83.96388889,26-05-2021 22:00,NaN
